energy_mid_eV,"U (n,2n)","U (n,2n) err",U nu-fission,U nu-fission err,"U (n,elastic)","U (n,elastic) err","U (n,n')","U (n,n') err"
72.18524344243579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.39485936971481,0.0,0.0,0.0,0.0,8.198962249034721e-09,8.198962249034721e-09,0.0,0.0
74.62474496184151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.87523987978082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77.14668947623315,0.0,0.0,0.0,0.0,7.80022688375878e-09,7.80022688375878e-09,0.0,0.0
78.43944489101148,0.0,0.0,7.671671849305108e-09,7.671671849305108e-09,0.0,0.0,0.0,0.0
79.75386314801653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.09030725383717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.44914629800292,0.0,0.0,0.0,0.0,7.298579891542955e-09,7.298579891542955e-09,0.0,0.0
83.83075555491638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.23551658749398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.66381735254309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88.11605230790528,0.0,0.0,0.0,0.0,6.829194743572519e-09,6.829194743572519e-09,0.0,0.0
89.59262252139484,0.0,0.0,0.0,0.0,6.716643226977604e-09,6.716643226977604e-09,0.0,0.0
91.09393578156272,0.0,0.0,0.0,0.0,1.3211893329287931e-08,9.294916684973708e-09,0.0,0.0
92.62040671031676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94.17245687742884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95.75051491696115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97.35501664564322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98.98640518323253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.6451310748923,0.0,0.0,0.0,0.0,5.9790441407215475e-09,5.9790441407215475e-09,0.0,0.0
102.33165241561973,0.0,0.0,0.0,0.0,4.70440312095399e-08,1.9919852157042315e-08,0.0,0.0
104.04643497675943,0.0,0.0,0.0,0.0,1.7350763090918986e-08,9.915764927036273e-09,0.0,0.0
105.78995233463681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107.56268600134686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.36512555773479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.19776878860507,0.0,0.0,0.0,0.0,5.411634494119067e-09,5.411634494119067e-09,0.0,0.0
